0.6000E+01  0.2906E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.8136E+07  0.1004E+07  0.5293E+07  0.6931E+06  0.3470E+07  0.4775E+06
0.6500E+01  0.2905E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.7595E+07  0.1004E+07  0.5139E+07  0.6931E+06  0.3417E+07  0.4775E+06
0.7000E+01  0.2906E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.7668E+07  0.1004E+07  0.5169E+07  0.6931E+06  0.3166E+07  0.4775E+06
0.7500E+01  0.2905E+04  0.7126E+03  0.2022E+04  0.4963E+03  0.7410E+07  0.1004E+07  0.5409E+07  0.6931E+06  0.3770E+07  0.4775E+06
0.8000E+01  0.2906E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.7636E+07  0.1004E+07  0.4899E+07  0.6931E+06  0.3023E+07  0.4775E+06
0.8500E+01  0.2905E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.7919E+07  0.1004E+07  0.5056E+07  0.6931E+06  0.3558E+07  0.4774E+06
0.9000E+01  0.2905E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.7706E+07  0.1004E+07  0.5394E+07  0.6931E+06  0.3025E+07  0.4774E+06
0.9500E+01  0.2905E+04  0.7126E+03  0.2023E+04  0.4963E+03  0.7038E+07  0.1004E+07  0.5197E+07  0.6931E+06  0.3498E+07  0.4774E+06
0.1000E+02  0.2905E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.6919E+07  0.1004E+07  0.5115E+07  0.6931E+06  0.3789E+07  0.4775E+06
0.1050E+02  0.2905E+04  0.7126E+03  0.2022E+04  0.4963E+03  0.7400E+07  0.1004E+07  0.4345E+07  0.6931E+06  0.2715E+07  0.4775E+06
0.1100E+02  0.2905E+04  0.7126E+03  0.2022E+04  0.4963E+03  0.7541E+07  0.1004E+07  0.4265E+07  0.6931E+06  0.2906E+07  0.4774E+06
0.1150E+02  0.2904E+04  0.7126E+03  0.2009E+04  0.4963E+03  0.7389E+07  0.1004E+07  0.4409E+07  0.6931E+06  0.3359E+07  0.4775E+06
0.1200E+02  0.2904E+04  0.7126E+03  0.1993E+04  0.4963E+03  0.7994E+07  0.1004E+07  0.4472E+07  0.6931E+06  0.2606E+07  0.4775E+06
0.1250E+02  0.2905E+04  0.7126E+03  0.1963E+04  0.4963E+03  0.7218E+07  0.1004E+07  0.4224E+07  0.6931E+06  0.2960E+07  0.4774E+06
0.1300E+02  0.2905E+04  0.7126E+03  0.1932E+04  0.4963E+03  0.6829E+07  0.1004E+07  0.4626E+07  0.6930E+06  0.3219E+07  0.4767E+06
0.1350E+02  0.2906E+04  0.7126E+03  0.1884E+04  0.4963E+03  0.7092E+07  0.1004E+07  0.3570E+07  0.6931E+06  0.2016E+07  0.4774E+06
