0.8000E+01  0.2464E-01  0.2365E-02  0.7095E-02  0.2682E-02  0.8941E-03  0.2682E-02  0.4471E-02  0.3309E-03  0.9927E-03  0.4704E-03  0.1568E-03  0.4704E-03  0.7841E-03  0.5289E-04  0.5289E-04  0.1222E-03  0.1587E-03  0.1587E-03  0.3667E-03  0.6554E-04  0.6554E-04  0.1714E-03  0.5246E-05  0.5246E-05  0.1514E-04
0.8500E+01  0.2038E-01  0.1945E-02  0.5836E-02  0.2290E-02  0.7632E-03  0.2290E-02  0.3816E-02  0.2583E-03  0.7750E-03  0.3827E-03  0.1276E-03  0.3827E-03  0.6378E-03  0.3704E-04  0.3704E-04  0.8914E-04  0.1111E-03  0.1111E-03  0.2674E-03  0.4396E-04  0.4396E-04  0.1190E-03  0.3373E-05  0.3373E-05  0.1015E-04
0.9000E+01  0.1694E-01  0.1607E-02  0.4820E-02  0.1957E-02  0.6522E-03  0.1957E-02  0.3261E-02  0.2028E-03  0.6084E-03  0.3120E-03  0.1040E-03  0.3120E-03  0.5200E-03  0.2617E-04  0.2617E-04  0.6475E-04  0.7852E-04  0.7852E-04  0.1942E-03  0.2975E-04  0.2975E-04  0.8350E-04  0.2193E-05  0.2193E-05  0.6843E-05
0.9500E+01  0.1415E-01  0.1332E-02  0.3997E-02  0.1678E-02  0.5593E-03  0.1678E-02  0.2796E-02  0.1599E-03  0.4797E-03  0.2553E-03  0.8511E-04  0.2553E-03  0.4256E-03  0.1858E-04  0.1858E-04  0.4764E-04  0.5574E-04  0.5574E-04  0.1429E-03  0.2021E-04  0.2021E-04  0.5887E-04  0.1431E-05  0.1431E-05  0.4628E-05
0.1000E+02  0.1186E-01  0.1108E-02  0.3323E-02  0.1441E-02  0.4805E-03  0.1441E-02  0.2402E-02  0.1267E-03  0.3801E-03  0.2094E-03  0.6981E-04  0.2094E-03  0.3490E-03  0.1322E-04  0.1322E-04  0.3517E-04  0.3967E-04  0.3967E-04  0.1055E-03  0.1390E-04  0.1390E-04  0.4180E-04  0.9513E-06  0.9513E-06  0.3157E-05
0.1050E+02  0.9985E-02  0.9244E-03  0.2773E-02  0.1240E-02  0.4135E-03  0.1240E-02  0.2067E-02  0.1008E-03  0.3023E-03  0.1724E-03  0.5746E-04  0.1724E-03  0.2873E-03  0.9552E-05  0.9552E-05  0.2614E-04  0.2866E-04  0.2866E-04  0.7843E-04  0.9631E-05  0.9631E-05  0.2974E-04  0.6284E-06  0.6284E-06  0.2178E-05
0.1100E+02  0.8437E-02  0.7741E-03  0.2322E-02  0.1070E-02  0.3567E-03  0.1070E-02  0.1783E-02  0.8048E-04  0.2414E-03  0.1421E-03  0.4737E-04  0.1421E-03  0.2369E-03  0.6916E-05  0.6916E-05  0.1945E-04  0.2075E-04  0.2075E-04  0.5836E-04  0.6726E-05  0.6726E-05  0.2136E-04  0.4217E-06  0.4217E-06  0.1502E-05
0.1150E+02  0.7151E-02  0.6499E-03  0.1950E-02  0.9244E-03  0.3081E-03  0.9244E-03  0.1541E-02  0.6455E-04  0.1937E-03  0.1176E-03  0.3919E-04  0.1176E-03  0.1960E-03  0.5039E-05  0.5039E-05  0.1457E-04  0.1512E-04  0.1512E-04  0.4371E-04  0.4705E-05  0.4705E-05  0.1545E-04  0.2859E-06  0.2859E-06  0.1046E-05
0.1200E+02  0.6082E-02  0.5473E-03  0.1642E-02  0.8006E-03  0.2669E-03  0.8006E-03  0.1334E-02  0.5195E-04  0.1559E-03  0.9748E-04  0.3249E-04  0.9748E-04  0.1625E-03  0.3710E-05  0.3710E-05  0.1099E-04  0.1113E-04  0.1113E-04  0.3296E-04  0.3326E-05  0.3326E-05  0.1119E-04  0.1939E-06  0.1939E-06  0.7344E-06
0.1250E+02  0.5185E-02  0.4620E-03  0.1386E-02  0.6941E-03  0.2314E-03  0.6941E-03  0.1157E-02  0.4198E-04  0.1259E-03  0.8099E-04  0.2700E-04  0.8099E-04  0.1350E-03  0.2724E-05  0.2724E-05  0.8295E-05  0.8171E-05  0.8171E-05  0.2489E-04  0.2353E-05  0.2353E-05  0.8144E-05  0.1331E-06  0.1331E-06  0.5154E-06
